participant_uid,participant_index,trial_number,pattern_id,success,solution_sequence_ops,solution_sequence_ops_json,solution_sequence_steps_json,solution_sequence_symbolic_json,solution_sequence_symbolic_str,solution_signature,steps_count,time_spent_sec
P_1769024040967_evnpep8tk,1,11,11,1,invert -> add,"[""invert"",""add""]","[""invert"",""add""]","[""W1 = invert(H5)"",""W2 = add(H17, W1)""]","W1 = invert(H5) ; W2 = add(H17, W1)",invert|add,2,47.077
P_1769024040967_evnpep8tk,1,12,12,1,invert -> add -> subtract,"[""invert"",""add"",""subtract""]","[""invert"",""add"",""subtract""]","[""W1 = invert(square)"",""W2 = add(square, W1)"",""W3 = subtract(H6, H17)""]","W1 = invert(square) ; W2 = add(square, W1) ; W3 = subtract(H6, H17)",invert|add|subtract,3,278.752
P_1769024040967_evnpep8tk,1,13,13,1,subtract,"[""subtract""]","[""subtract""]","[""W1 = subtract(H16, H17)""]","W1 = subtract(H16, H17)",subtract,1,85.874
P_1769024040967_evnpep8tk,1,14,14,1,add -> subtract,"[""add"",""subtract""]","[""add"",""subtract""]","[""W1 = add(H5, H22)"",""W2 = subtract(W1, H17)""]","W1 = add(H5, H22) ; W2 = subtract(W1, H17)",add|subtract,2,165.852
P_1769028009753_pa0qcw3cf,2,1,1,1,add -> reflect_h -> reflect_v -> add -> add,"[""add"",""reflect_h"",""reflect_v"",""add"",""add""]","[""add"",""reflect_h"",""reflect_v"",""add"",""add""]","[""W1 = add(line_v, line_h)"",""W2 = reflect_h(line_h)"",""W3 = reflect_v(line_v)"",""W4 = add(W2, W3)"",""W5 = add(W1, W4)""]","W1 = add(line_v, line_h) ; W2 = reflect_h(line_h) ; W3 = reflect_v(line_v) ; W4 = add(W2, W3) ; W5 = add(W1, W4)",add|reflect_h|reflect_v|add|add,5,116.297
P_1769028009753_pa0qcw3cf,2,2,2,1,add,"[""add""]","[""add""]","[""W1 = add(H29, square)""]","W1 = add(H29, square)",add,1,14.435
P_1769028009753_pa0qcw3cf,2,3,3,1,add -> invert,"[""add"",""invert""]","[""add"",""invert""]","[""W1 = add(H29, square)"",""W2 = invert(W1)""]","W1 = add(H29, square) ; W2 = invert(W1)",add|invert,2,19.919
P_1769028009753_pa0qcw3cf,2,4,4,1,add -> subtract -> reflect_v -> subtract,"[""add"",""subtract"",""reflect_v"",""subtract""]","[""add"",""subtract"",""reflect_v"",""subtract""]","[""W1 = add(square, square)"",""W2 = subtract(square, diag)"",""W3 = reflect_v(diag)"",""W4 = subtract(W2, W3)""]","W1 = add(square, square) ; W2 = subtract(square, diag) ; W3 = reflect_v(diag) ; W4 = subtract(W2, W3)",add|subtract|reflect_v|subtract,4,110.875
P_1769028009753_pa0qcw3cf,2,5,5,1,add -> add,"[""add"",""add""]","[""add"",""add""]","[""W1 = add(square, H32)"",""W2 = add(W1, diag)""]","W1 = add(square, H32) ; W2 = add(W1, diag)",add|add,2,25.777
P_1769028009753_pa0qcw3cf,2,6,6,1,add -> invert,"[""add"",""invert""]","[""add"",""invert""]","[""W1 = add(H34, diag)"",""W2 = invert(W1)""]","W1 = add(H34, diag) ; W2 = invert(W1)",add|invert,2,25.751
P_1769028009753_pa0qcw3cf,2,7,7,1,add -> add,"[""add"",""add""]","[""add"",""add""]","[""W1 = add(H29, diag)"",""W2 = add(W1, H32)""]","W1 = add(H29, diag) ; W2 = add(W1, H32)",add|add,2,35.664
P_1769028009753_pa0qcw3cf,2,8,8,1,add -> subtract -> reflect_v -> reflect_h -> subtract -> subtract -> subtract,"[""add"",""subtract"",""reflect_v"",""reflect_h"",""subtract"",""subtract"",""subtract""]","[""add"",""subtract"",""reflect_v"",""reflect_h"",""subtract"",""subtract"",""subtract""]","[""W1 = add(line_v, line_h)"",""W2 = subtract(H35, square)"",""W3 = reflect_v(line_h)"",""W4 = reflect_h(line_h)"",""W5 = subtract(H29, square)"",""W6 = subtract(W2, H30)"",""W7 = subtract(W2, W6)""]","W1 = add(line_v, line_h) ; W2 = subtract(H35, square) ; W3 = reflect_v(line_h) ; W4 = reflect_h(line_h) ; W5 = subtract(H29, square) ; W6 = subtract(W2, H30) ; W7 = subtract(W2, W6)",add|subtract|reflect_v|reflect_h|subtract|subtract|subtract,7,304.307
P_1769028009753_pa0qcw3cf,2,9,9,1,add,"[""add""]","[""add""]","[""W1 = add(square, H39)""]","W1 = add(square, H39)",add,1,12.628
P_1769028009753_pa0qcw3cf,2,10,10,1,invert,"[""invert""]","[""invert""]","[""W1 = invert(H40)""]",W1 = invert(H40),invert,1,10.987
P_1769028009753_pa0qcw3cf,2,11,11,1,subtract -> invert,"[""subtract"",""invert""]","[""subtract"",""invert""]","[""W1 = subtract(H29, H39)"",""W2 = invert(W1)""]","W1 = subtract(H29, H39) ; W2 = invert(W1)",subtract|invert,2,32.405
P_1769028009753_pa0qcw3cf,2,12,12,1,add,"[""add""]","[""add""]","[""W1 = add(H42, square)""]","W1 = add(H42, square)",add,1,27.346
P_1769028009753_pa0qcw3cf,2,13,13,1,add -> subtract,"[""add"",""subtract""]","[""add"",""subtract""]","[""W1 = add(diag, H32)"",""W2 = subtract(W1, H39)""]","W1 = add(diag, H32) ; W2 = subtract(W1, H39)",add|subtract,2,41.729
P_1769028009753_pa0qcw3cf,2,14,14,1,add -> subtract,"[""add"",""subtract""]","[""add"",""subtract""]","[""W1 = add(H42, H44)"",""W2 = subtract(W1, H39)""]","W1 = add(H42, H44) ; W2 = subtract(W1, H39)",add|subtract,2,62.498
P_1769029265911_ghekvzbk7,3,1,1,1,reflect_h -> reflect_v -> add -> add -> add,"[""reflect_h"",""reflect_v"",""add"",""add"",""add""]","[""reflect_h"",""reflect_v"",""add"",""add"",""add""]","[""W1 = reflect_h(line_h)"",""W2 = reflect_v(line_v)"",""W3 = add(line_v, W2)"",""W4 = add(W1, line_h)"",""W5 = add(W4, W3)""]","W1 = reflect_h(line_h) ; W2 = reflect_v(line_v) ; W3 = add(line_v, W2) ; W4 = add(W1, line_h) ; W5 = add(W4, W3)",reflect_h|reflect_v|add|add|add,5,39.403
P_1769029265911_ghekvzbk7,3,2,2,1,add -> add,"[""add"",""add""]","[""add"",""add""]","[""W1 = add(H48, H49)"",""W2 = add(square, W1)""]","W1 = add(H48, H49) ; W2 = add(square, W1)",add|add,2,18.583
P_1769029265911_ghekvzbk7,3,3,3,1,add -> invert,"[""add"",""invert""]","[""add"",""invert""]","[""W1 = add(square, H50)"",""W2 = invert(W1)""]","W1 = add(square, H50) ; W2 = invert(W1)",add|invert,2,20.985
P_1769029265911_ghekvzbk7,3,4,4,1,reflect_v -> subtract -> subtract -> subtract,"[""reflect_v"",""subtract"",""subtract"",""subtract""]","[""reflect_v"",""subtract"",""subtract"",""subtract""]","[""W1 = reflect_v(diag)"",""W2 = subtract(square, W1)"",""W3 = subtract(W2, W1)"",""W4 = subtract(W3, diag)""]","W1 = reflect_v(diag) ; W2 = subtract(square, W1) ; W3 = subtract(W2, W1) ; W4 = subtract(W3, diag)",reflect_v|subtract|subtract|subtract,4,97.669
P_1769029265911_ghekvzbk7,3,5,5,1,add -> add,"[""add"",""add""]","[""add"",""add""]","[""W1 = add(square, H52)"",""W2 = add(W1, diag)""]","W1 = add(square, H52) ; W2 = add(W1, diag)",add|add,2,28.21
P_1769029265911_ghekvzbk7,3,6,6,1,invert,"[""invert""]","[""invert""]","[""W1 = invert(H54)""]",W1 = invert(H54),invert,1,10.236
P_1769029265911_ghekvzbk7,3,7,7,1,add -> add,"[""add"",""add""]","[""add"",""add""]","[""W1 = add(H50, diag)"",""W2 = add(W1, H52)""]","W1 = add(H50, diag) ; W2 = add(W1, H52)",add|add,2,27.803
P_1769029265911_ghekvzbk7,3,8,8,1,invert -> invert -> subtract -> subtract,"[""invert"",""invert"",""subtract"",""subtract""]","[""invert"",""invert"",""subtract"",""subtract""]","[""W1 = invert(H48)"",""W2 = invert(H49)"",""W3 = subtract(H50, W2)"",""W4 = subtract(W3, W1)""]","W1 = invert(H48) ; W2 = invert(H49) ; W3 = subtract(H50, W2) ; W4 = subtract(W3, W1)",invert|invert|subtract|subtract,4,116.262
P_1769029265911_ghekvzbk7,3,9,9,1,add,"[""add""]","[""add""]","[""W1 = add(H56, square)""]","W1 = add(H56, square)",add,1,8.886
P_1769029265911_ghekvzbk7,3,10,10,1,invert,"[""invert""]","[""invert""]","[""W1 = invert(H57)""]",W1 = invert(H57),invert,1,5.318
P_1769029265911_ghekvzbk7,3,11,11,1,invert -> add,"[""invert"",""add""]","[""invert"",""add""]","[""W1 = invert(H50)"",""W2 = add(W1, H56)""]","W1 = invert(H50) ; W2 = add(W1, H56)",invert|add,2,28.929
P_1769029265911_ghekvzbk7,3,12,12,1,subtract,"[""subtract""]","[""subtract""]","[""W1 = subtract(H51, H56)""]","W1 = subtract(H51, H56)",subtract,1,13.804
P_1769029265911_ghekvzbk7,3,13,13,1,add -> subtract,"[""add"",""subtract""]","[""add"",""subtract""]","[""W1 = add(H52, diag)"",""W2 = subtract(W1, H56)""]","W1 = add(H52, diag) ; W2 = subtract(W1, H56)",add|subtract,2,25.498
P_1769029265911_ghekvzbk7,3,14,14,1,subtract,"[""subtract""]","[""subtract""]","[""W1 = subtract(H55, H56)""]","W1 = subtract(H55, H56)",subtract,1,11.667
P_1769030144835_mdzrd0urd,4,1,1,1,reflect_v -> add -> reflect_d -> reflect_h -> reflect_v -> add,"[""reflect_v"",""add"",""reflect_d"",""reflect_h"",""reflect_v"",""add""]","[""reflect_v"",""add"",""reflect_d"",""reflect_h"",""reflect_v"",""add""]","[""W1 = reflect_v(line_v)"",""W2 = add(line_v, line_h)"",""W3 = reflect_d(W2)"",""W4 = reflect_h(W3)"",""W5 = reflect_v(W4)"",""W6 = add(W3, W5)""]","W1 = reflect_v(line_v) ; W2 = add(line_v, line_h) ; W3 = reflect_d(W2) ; W4 = reflect_h(W3) ; W5 = reflect_v(W4) ; W6 = add(W3, W5)",reflect_v|add|reflect_d|reflect_h|reflect_v|add,6,113.593
P_1769030144835_mdzrd0urd,4,2,2,1,add -> add,"[""add"",""add""]","[""add"",""add""]","[""W1 = add(square, H63)"",""W2 = add(W1, H64)""]","W1 = add(square, H63) ; W2 = add(W1, H64)",add|add,2,20.85
P_1769030144835_mdzrd0urd,4,3,3,1,add -> add -> invert,"[""add"",""add"",""invert""]","[""add"",""add"",""invert""]","[""W1 = add(H63, H64)"",""W2 = add(square, W1)"",""W3 = invert(W2)""]","W1 = add(H63, H64) ; W2 = add(square, W1) ; W3 = invert(W2)",add|add|invert,3,25.949
P_1769030144835_mdzrd0urd,4,4,4,1,subtract -> reflect_h -> add -> subtract,"[""subtract"",""reflect_h"",""add"",""subtract""]","[""subtract"",""reflect_h"",""add"",""subtract""]","[""W1 = subtract(square, diag)"",""W2 = reflect_h(diag)"",""W3 = add(diag, W2)"",""W4 = subtract(square, W3)""]","W1 = subtract(square, diag) ; W2 = reflect_h(diag) ; W3 = add(diag, W2) ; W4 = subtract(square, W3)",subtract|reflect_h|add|subtract,4,69.744
P_1769030144835_mdzrd0urd,4,5,5,1,add,"[""add""]","[""add""]","[""W1 = add(square, H66)""]","W1 = add(square, H66)",add,1,10.914
P_1769030144835_mdzrd0urd,4,6,6,1,add -> invert,"[""add"",""invert""]","[""add"",""invert""]","[""W1 = add(square, H66)"",""W2 = invert(W1)""]","W1 = add(square, H66) ; W2 = invert(W1)",add|invert,2,28.345
P_1769030144835_mdzrd0urd,4,7,7,1,reflect_h -> reflect_h -> add -> reflect_v -> add -> add -> add,"[""reflect_h"",""reflect_h"",""add"",""reflect_v"",""add"",""add"",""add""]","[""reflect_h"",""reflect_h"",""add"",""reflect_v"",""add"",""add"",""add""]","[""W1 = reflect_h(line_v)"",""W2 = reflect_h(line_h)"",""W3 = add(W2, line_h)"",""W4 = reflect_v(line_v)"",""W5 = add(W4, line_v)"",""W6 = add(W5, W3)"",""W7 = add(W6, H66)""]","W1 = reflect_h(line_v) ; W2 = reflect_h(line_h) ; W3 = add(W2, line_h) ; W4 = reflect_v(line_v) ; W5 = add(W4, line_v) ; W6 = add(W5, W3) ; W7 = add(W6, H66)",reflect_h|reflect_h|add|reflect_v|add|add|add,7,91.145
P_1769030144835_mdzrd0urd,4,8,8,1,overlap,"[""overlap""]","[""overlap""]","[""W1 = overlap(H67, H68)""]","W1 = overlap(H67, H68)",overlap,1,13.135
P_1769030144835_mdzrd0urd,4,9,9,1,overlap -> add,"[""overlap"",""add""]","[""overlap"",""add""]","[""W1 = overlap(H67, H68)"",""W2 = add(square, W1)""]","W1 = overlap(H67, H68) ; W2 = add(square, W1)",overlap|add,2,14.466
P_1769030144835_mdzrd0urd,4,10,10,1,overlap -> add -> invert,"[""overlap"",""add"",""invert""]","[""overlap"",""add"",""invert""]","[""W1 = overlap(H67, H68)"",""W2 = add(square, W1)"",""W3 = invert(W2)""]","W1 = overlap(H67, H68) ; W2 = add(square, W1) ; W3 = invert(W2)",overlap|add|invert,3,31.795
P_1769030144835_mdzrd0urd,4,11,11,1,invert -> add,"[""invert"",""add""]","[""invert"",""add""]","[""W1 = invert(H69)"",""W2 = add(H70, W1)""]","W1 = invert(H69) ; W2 = add(H70, W1)",invert|add,2,31.837
P_1769030144835_mdzrd0urd,4,12,12,1,invert -> add -> add,"[""invert"",""add"",""add""]","[""invert"",""add"",""add""]","[""W1 = invert(H73)"",""W2 = add(square, W1)"",""W3 = add(W2, W2)""]","W1 = invert(H73) ; W2 = add(square, W1) ; W3 = add(W2, W2)",invert|add|add,3,40.458
P_1769030144835_mdzrd0urd,4,13,13,1,subtract,"[""subtract""]","[""subtract""]","[""W1 = subtract(H66, H70)""]","W1 = subtract(H66, H70)",subtract,1,11.794
P_1769030144835_mdzrd0urd,4,14,14,1,add -> subtract,"[""add"",""subtract""]","[""add"",""subtract""]","[""W1 = add(H69, H66)"",""W2 = subtract(W1, H70)""]","W1 = add(H69, H66) ; W2 = subtract(W1, H70)",add|subtract,2,28.39
P_1769032135427_mwu2cnmey,5,1,1,1,add -> reflect_h -> add -> reflect_v -> add,"[""add"",""reflect_h"",""add"",""reflect_v"",""add""]","[""add"",""reflect_h"",""add"",""reflect_v"",""add""]","[""W1 = add(line_h, line_v)"",""W2 = reflect_h(line_h)"",""W3 = add(W1, W2)"",""W4 = reflect_v(line_v)"",""W5 = add(W3, W4)""]","W1 = add(line_h, line_v) ; W2 = reflect_h(line_h) ; W3 = add(W1, W2) ; W4 = reflect_v(line_v) ; W5 = add(W3, W4)",add|reflect_h|add|reflect_v|add,5,46.275
P_1769032135427_mwu2cnmey,5,2,2,1,add -> reflect_h -> reflect_v -> add -> add -> add,"[""add"",""reflect_h"",""reflect_v"",""add"",""add"",""add""]","[""add"",""reflect_h"",""reflect_v"",""add"",""add"",""add""]","[""W1 = add(square, line_v)"",""W2 = reflect_h(line_h)"",""W3 = reflect_v(line_v)"",""W4 = add(W1, W2)"",""W5 = add(W4, W3)"",""W6 = add(W5, line_h)""]","W1 = add(square, line_v) ; W2 = reflect_h(line_h) ; W3 = reflect_v(line_v) ; W4 = add(W1, W2) ; W5 = add(W4, W3) ; W6 = add(W5, line_h)",add|reflect_h|reflect_v|add|add|add,6,56.599
P_1769032135427_mwu2cnmey,5,3,3,1,invert -> add -> subtract -> subtract -> reflect_h -> reflect_v -> subtract -> subtract -> subtract,"[""invert"",""add"",""subtract"",""subtract"",""reflect_h"",""reflect_v"",""subtract"",""subtract"",""subtract""]","[""invert"",""add"",""subtract"",""subtract"",""reflect_h"",""reflect_v"",""subtract"",""subtract"",""subtract""]","[""W1 = invert(tri)"",""W2 = add(W1, tri)"",""W3 = subtract(W2, square)"",""W4 = subtract(W3, line_h)"",""W5 = reflect_h(line_h)"",""W6 = reflect_v(line_v)"",""W7 = subtract(W4, W5)"",""W8 = subtract(W7, W6)"",""W9 = subtract(W8, line_v)""]","W1 = invert(tri) ; W2 = add(W1, tri) ; W3 = subtract(W2, square) ; W4 = subtract(W3, line_h) ; W5 = reflect_h(line_h) ; W6 = reflect_v(line_v) ; W7 = subtract(W4, W5) ; W8 = subtract(W7, W6) ; W9 = subtract(W8, line_v)",invert|add|subtract|subtract|reflect_h|reflect_v|subtract|subtract|subtract,9,106.796
P_1769032135427_mwu2cnmey,5,4,4,1,invert -> reflect_v -> overlap -> overlap,"[""invert"",""reflect_v"",""overlap"",""overlap""]","[""invert"",""reflect_v"",""overlap"",""overlap""]","[""W1 = invert(diag)"",""W2 = reflect_v(W1)"",""W3 = overlap(square, W2)"",""W4 = overlap(W3, W1)""]","W1 = invert(diag) ; W2 = reflect_v(W1) ; W3 = overlap(square, W2) ; W4 = overlap(W3, W1)",invert|reflect_v|overlap|overlap,4,85.718
P_1769032135427_mwu2cnmey,5,5,5,1,overlap -> overlap -> reflect_v -> add -> add,"[""overlap"",""overlap"",""reflect_v"",""add"",""add""]","[""overlap"",""overlap"",""reflect_v"",""add"",""add""]","[""W1 = overlap(H78, H79)"",""W2 = overlap(line_v, line_h)"",""W3 = reflect_v(diag)"",""W4 = add(W3, diag)"",""W5 = add(W4, square)""]","W1 = overlap(H78, H79) ; W2 = overlap(line_v, line_h) ; W3 = reflect_v(diag) ; W4 = add(W3, diag) ; W5 = add(W4, square)",overlap|overlap|reflect_v|add|add,5,83.722
P_1769032135427_mwu2cnmey,5,6,6,1,add -> invert -> subtract,"[""add"",""invert"",""subtract""]","[""add"",""invert"",""subtract""]","[""W1 = add(diag, H84)"",""W2 = invert(W1)"",""W3 = subtract(W2, square)""]","W1 = add(diag, H84) ; W2 = invert(W1) ; W3 = subtract(W2, square)",add|invert|subtract,3,40.439
P_1769032135427_mwu2cnmey,5,7,7,1,add -> add -> add -> add,"[""add"",""add"",""add"",""add""]","[""add"",""add"",""add"",""add""]","[""W1 = add(H85, line_h)"",""W2 = add(W1, H78)"",""W3 = add(W2, H79)"",""W4 = add(W3, line_v)""]","W1 = add(H85, line_h) ; W2 = add(W1, H78) ; W3 = add(W2, H79) ; W4 = add(W3, line_v)",add|add|add|add,4,31.181
P_1769032135427_mwu2cnmey,5,8,8,1,overlap -> add -> overlap -> overlap -> add -> add,"[""overlap"",""add"",""overlap"",""overlap"",""add"",""add""]","[""overlap"",""add"",""overlap"",""overlap"",""add"",""add""]","[""W1 = overlap(line_h, line_v)"",""W2 = add(H83, W1)"",""W3 = overlap(H78, line_v)"",""W4 = overlap(line_h, H79)"",""W5 = add(W2, W3)"",""W6 = add(W5, W4)""]","W1 = overlap(line_h, line_v) ; W2 = add(H83, W1) ; W3 = overlap(H78, line_v) ; W4 = overlap(line_h, H79) ; W5 = add(W2, W3) ; W6 = add(W5, W4)",overlap|add|overlap|overlap|add|add,6,123.764
P_1769032135427_mwu2cnmey,5,9,9,1,add,"[""add""]","[""add""]","[""W1 = add(square, H90)""]","W1 = add(square, H90)",add,1,7.697
P_1769032135427_mwu2cnmey,5,10,10,1,invert,"[""invert""]","[""invert""]","[""W1 = invert(H91)""]",W1 = invert(H91),invert,1,7.642
P_1769032135427_mwu2cnmey,5,11,11,1,add -> add -> add -> invert -> add,"[""add"",""add"",""add"",""invert"",""add""]","[""add"",""add"",""add"",""invert"",""add""]","[""W1 = add(H78, line_h)"",""W2 = add(H79, line_v)"",""W3 = add(W2, W1)"",""W4 = invert(W3)"",""W5 = add(W4, H90)""]","W1 = add(H78, line_h) ; W2 = add(H79, line_v) ; W3 = add(W2, W1) ; W4 = invert(W3) ; W5 = add(W4, H90)",add|add|add|invert|add,5,72.065
P_1769032135427_mwu2cnmey,5,12,12,1,invert -> add,"[""invert"",""add""]","[""invert"",""add""]","[""W1 = invert(H95)"",""W2 = add(W1, square)""]","W1 = invert(H95) ; W2 = add(W1, square)",invert|add,2,17.19
P_1769032135427_mwu2cnmey,5,13,13,1,subtract,"[""subtract""]","[""subtract""]","[""W1 = subtract(H85, H90)""]","W1 = subtract(H85, H90)",subtract,1,16.394
P_1769032135427_mwu2cnmey,5,14,14,1,subtract,"[""subtract""]","[""subtract""]","[""W1 = subtract(H86, H90)""]","W1 = subtract(H86, H90)",subtract,1,17.968
P_1769032566401_7v6dxp0ys,6,1,1,1,add -> reflect_d -> reflect_d -> add -> reflect_h -> reflect_v -> add,"[""add"",""reflect_d"",""reflect_d"",""add"",""reflect_h"",""reflect_v"",""add""]","[""add"",""reflect_d"",""reflect_d"",""add"",""reflect_h"",""reflect_v"",""add""]","[""W1 = add(line_h, line_v)"",""W2 = reflect_d(W1)"",""W3 = reflect_d(W2)"",""W4 = add(W3, W3)"",""W5 = reflect_h(W4)"",""W6 = reflect_v(W4)"",""W7 = add(W5, W6)""]","W1 = add(line_h, line_v) ; W2 = reflect_d(W1) ; W3 = reflect_d(W2) ; W4 = add(W3, W3) ; W5 = reflect_h(W4) ; W6 = reflect_v(W4) ; W7 = add(W5, W6)",add|reflect_d|reflect_d|add|reflect_h|reflect_v|add,7,181.259
P_1769032566401_7v6dxp0ys,6,2,2,1,add -> add -> reflect_h -> add -> reflect_v -> add,"[""add"",""add"",""reflect_h"",""add"",""reflect_v"",""add""]","[""add"",""add"",""reflect_h"",""add"",""reflect_v"",""add""]","[""W1 = add(square, line_h)"",""W2 = add(W1, line_v)"",""W3 = reflect_h(W2)"",""W4 = add(W2, W3)"",""W5 = reflect_v(W2)"",""W6 = add(W4, W5)""]","W1 = add(square, line_h) ; W2 = add(W1, line_v) ; W3 = reflect_h(W2) ; W4 = add(W2, W3) ; W5 = reflect_v(W2) ; W6 = add(W4, W5)",add|add|reflect_h|add|reflect_v|add,6,135.41
P_1769032566401_7v6dxp0ys,6,3,3,1,invert -> reflect_v -> subtract,"[""invert"",""reflect_v"",""subtract""]","[""invert"",""reflect_v"",""subtract""]","[""W1 = invert(H101)"",""W2 = reflect_v(line_v)"",""W3 = subtract(W1, W2)""]","W1 = invert(H101) ; W2 = reflect_v(line_v) ; W3 = subtract(W1, W2)",invert|reflect_v|subtract,3,100.871
P_1769032566401_7v6dxp0ys,6,4,4,1,subtract -> reflect_v -> subtract,"[""subtract"",""reflect_v"",""subtract""]","[""subtract"",""reflect_v"",""subtract""]","[""W1 = subtract(square, diag)"",""W2 = reflect_v(diag)"",""W3 = subtract(W1, W2)""]","W1 = subtract(square, diag) ; W2 = reflect_v(diag) ; W3 = subtract(W1, W2)",subtract|reflect_v|subtract,3,76.903
P_1769032566401_7v6dxp0ys,6,5,5,1,add -> reflect_v -> add,"[""add"",""reflect_v"",""add""]","[""add"",""reflect_v"",""add""]","[""W1 = add(square, diag)"",""W2 = reflect_v(diag)"",""W3 = add(W1, W2)""]","W1 = add(square, diag) ; W2 = reflect_v(diag) ; W3 = add(W1, W2)",add|reflect_v|add,3,59.047
P_1769032566401_7v6dxp0ys,6,6,6,1,invert,"[""invert""]","[""invert""]","[""W1 = invert(H105)""]",W1 = invert(H105),invert,1,19.205
P_1769032566401_7v6dxp0ys,6,7,7,1,add -> add -> reflect_v -> add -> reflect_v -> reflect_h -> add -> add,"[""add"",""add"",""reflect_v"",""add"",""reflect_v"",""reflect_h"",""add"",""add""]","[""add"",""add"",""reflect_v"",""add"",""reflect_v"",""reflect_h"",""add"",""add""]","[""W1 = add(line_v, line_h)"",""W2 = add(W1, diag)"",""W3 = reflect_v(diag)"",""W4 = add(W2, W3)"",""W5 = reflect_v(line_v)"",""W6 = reflect_h(line_h)"",""W7 = add(W4, W5)"",""W8 = add(W6, W7)""]","W1 = add(line_v, line_h) ; W2 = add(W1, diag) ; W3 = reflect_v(diag) ; W4 = add(W2, W3) ; W5 = reflect_v(line_v) ; W6 = reflect_h(line_h) ; W7 = add(W4, W5) ; W8 = add(W6, W7)",add|add|reflect_v|add|reflect_v|reflect_h|add|add,8,158.462
P_1769032566401_7v6dxp0ys,6,8,8,1,overlap -> reflect_h -> reflect_v -> overlap -> add -> reflect_v -> add,"[""overlap"",""reflect_h"",""reflect_v"",""overlap"",""add"",""reflect_v"",""add""]","[""overlap"",""reflect_h"",""reflect_v"",""overlap"",""add"",""reflect_v"",""add""]","[""W1 = overlap(line_h, line_v)"",""W2 = reflect_h(line_h)"",""W3 = reflect_v(line_v)"",""W4 = overlap(W2, W3)"",""W5 = add(W1, W4)"",""W6 = reflect_v(W5)"",""W7 = add(W5, W6)""]","W1 = overlap(line_h, line_v) ; W2 = reflect_h(line_h) ; W3 = reflect_v(line_v) ; W4 = overlap(W2, W3) ; W5 = add(W1, W4) ; W6 = reflect_v(W5) ; W7 = add(W5, W6)",overlap|reflect_h|reflect_v|overlap|add|reflect_v|add,7,111.305
