participant_uid,participant_index,trial_number,pattern_id,test_name,success,submitted,started_at,time_spent_ms,time_spent_sec,steps_count_field,steps_len,operations_len,sequence_ops_raw_json,sequence_ops_canonical_json,sequence_ops_canonical_str,sequence_ops_signature,sequence_steps_canonical_json,sequence_steps_symbolic_json,sequence_steps_symbolic_str,helper_add_count,helper_use_count,preview_count,undo_count,primitive_click_count,binary_click_count,transform_click_count,button_click_count,target_pattern_json
P_1769024040967_evnpep8tk,1,11,11,Pattern-11,1,1,1769025410769,47077,47.077,2,2,2,"[""invert(•)"",""add(•, 1)""]","[""invert"",""add""]",invert -> add,invert|add,"[""invert"",""add""]","[""W1 = invert(H5)"",""W2 = add(H17, W1)""]","W1 = invert(H5) ; W2 = add(H17, W1)",1,7,3,1,0,2,1,3,"[[1,1,1,1,0,0,1,1,1,1],[1,1,1,1,0,0,1,1,1,1],[1,1,1,1,0,0,1,1,1,1],[1,1,1,1,0,0,1,1,1,1],[0,0,0,0,1,1,0,0,0,0],[0,0,0,0,1,1,0,0,0,0],[1,1,1,1,0,0,1,1,1,1],[1,1,1,1,0,0,1,1,1,1],[1,1,1,1,0,0,1,1,1,1],[1,1,1,1,0,0,1,1,1,1]]"
P_1769024040967_evnpep8tk,1,12,12,Pattern-12,1,1,1769025459859,278752,278.752,3,3,3,"[""invert(•)"",""add(•, 1)"",""subtract(•, •)""]","[""invert"",""add"",""subtract""]",invert -> add -> subtract,invert|add|subtract,"[""invert"",""add"",""subtract""]","[""W1 = invert(square)"",""W2 = add(square, W1)"",""W3 = subtract(H6, H17)""]","W1 = invert(square) ; W2 = add(square, W1) ; W3 = subtract(H6, H17)",2,32,8,1,3,7,2,12,"[[1,1,1,1,1,1,1,1,1,1],[1,0,0,0,1,1,0,0,0,1],[1,0,0,0,1,1,0,0,0,1],[1,0,0,0,1,1,0,0,0,1],[1,1,1,1,0,0,1,1,1,1],[1,1,1,1,0,0,1,1,1,1],[1,0,0,0,1,1,0,0,0,1],[1,0,0,0,1,1,0,0,0,1],[1,0,0,0,1,1,0,0,0,1],[1,1,1,1,1,1,1,1,1,1]]"
P_1769024040967_evnpep8tk,1,13,13,Pattern-13,1,1,1769025740624,85874,85.874,1,1,1,"[""subtract(•, •)""]","[""subtract""]",subtract,subtract,"[""subtract""]","[""W1 = subtract(H16, H17)""]","W1 = subtract(H16, H17)",1,3,1,1,0,1,0,1,"[[1,0,0,0,0,0,0,0,0,1],[0,1,0,0,0,0,0,0,1,0],[0,0,1,0,0,0,0,1,0,0],[0,0,0,1,0,0,1,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,1,0,0,1,0,0,0],[0,0,1,0,0,0,0,1,0,0],[0,1,0,0,0,0,0,0,1,0],[1,0,0,0,0,0,0,0,0,1]]"
P_1769024040967_evnpep8tk,1,14,14,Pattern-14,1,1,1769025828511,165852,165.852,2,2,2,"[""add(•, •)"",""subtract(1, •)""]","[""add"",""subtract""]",add -> subtract,add|subtract,"[""add"",""subtract""]","[""W1 = add(H5, H22)"",""W2 = subtract(W1, H17)""]","W1 = add(H5, H22) ; W2 = subtract(W1, H17)",2,16,4,0,0,6,0,6,"[[1,0,0,0,1,1,0,0,0,1],[0,1,0,0,1,1,0,0,1,0],[0,0,1,0,1,1,0,1,0,0],[0,0,0,1,1,1,1,0,0,0],[1,1,1,1,0,0,1,1,1,1],[1,1,1,1,0,0,1,1,1,1],[0,0,0,1,1,1,1,0,0,0],[0,0,1,0,1,1,0,1,0,0],[0,1,0,0,1,1,0,0,1,0],[1,0,0,0,1,1,0,0,0,1]]"
P_1769028009753_pa0qcw3cf,2,1,1,Pattern-01,1,1,1769028404654,116297,116.297,5,5,5,"[""add(•, •)"",""reflect_horizontal(•)"",""reflect_vertical(•)"",""add(2, 3)"",""add(1, 4)""]","[""add"",""reflect_h"",""reflect_v"",""add"",""add""]",add -> reflect_h -> reflect_v -> add -> add,add|reflect_h|reflect_v|add|add,"[""add"",""reflect_h"",""reflect_v"",""add"",""add""]","[""W1 = add(line_v, line_h)"",""W2 = reflect_h(line_h)"",""W3 = reflect_v(line_v)"",""W4 = add(W2, W3)"",""W5 = add(W1, W4)""]","W1 = add(line_v, line_h) ; W2 = reflect_h(line_h) ; W3 = reflect_v(line_v) ; W4 = add(W2, W3) ; W5 = add(W1, W4)",5,10,9,1,12,9,6,27,"[[0,0,0,0,1,1,0,0,0,0],[0,0,0,0,1,1,0,0,0,0],[0,0,0,0,1,1,0,0,0,0],[0,0,0,0,1,1,0,0,0,0],[1,1,1,1,1,1,1,1,1,1],[1,1,1,1,1,1,1,1,1,1],[0,0,0,0,1,1,0,0,0,0],[0,0,0,0,1,1,0,0,0,0],[0,0,0,0,1,1,0,0,0,0],[0,0,0,0,1,1,0,0,0,0]]"
P_1769028009753_pa0qcw3cf,2,2,2,Pattern-02,1,1,1769028522968,14435,14.435,1,1,1,"[""add(•, •)""]","[""add""]",add,add,"[""add""]","[""W1 = add(H29, square)""]","W1 = add(H29, square)",0,2,1,1,1,1,0,2,"[[1,1,1,1,1,1,1,1,1,1],[1,0,0,0,1,1,0,0,0,1],[1,0,0,0,1,1,0,0,0,1],[1,0,0,0,1,1,0,0,0,1],[1,1,1,1,1,1,1,1,1,1],[1,1,1,1,1,1,1,1,1,1],[1,0,0,0,1,1,0,0,0,1],[1,0,0,0,1,1,0,0,0,1],[1,0,0,0,1,1,0,0,0,1],[1,1,1,1,1,1,1,1,1,1]]"
P_1769028009753_pa0qcw3cf,2,3,3,Pattern-03,1,1,1769028539416,19919,19.919,2,2,2,"[""add(•, •)"",""invert(•)""]","[""add"",""invert""]",add -> invert,add|invert,"[""add"",""invert""]","[""W1 = add(H29, square)"",""W2 = invert(W1)""]","W1 = add(H29, square) ; W2 = invert(W1)",1,2,2,1,1,1,1,3,"[[0,0,0,0,0,0,0,0,0,0],[0,1,1,1,0,0,1,1,1,0],[0,1,1,1,0,0,1,1,1,0],[0,1,1,1,0,0,1,1,1,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,1,1,1,0,0,1,1,1,0],[0,1,1,1,0,0,1,1,1,0],[0,1,1,1,0,0,1,1,1,0],[0,0,0,0,0,0,0,0,0,0]]"
P_1769028009753_pa0qcw3cf,2,4,4,Pattern-04,1,1,1769028561354,110875,110.875,4,4,4,"[""add(•, •)"",""subtract(1, •)"",""reflect_vertical(•)"",""subtract(2, 3)""]","[""add"",""subtract"",""reflect_v"",""subtract""]",add -> subtract -> reflect_v -> subtract,add|subtract|reflect_v|subtract,"[""add"",""subtract"",""reflect_v"",""subtract""]","[""W1 = add(square, square)"",""W2 = subtract(square, diag)"",""W3 = reflect_v(diag)"",""W4 = subtract(W2, W3)""]","W1 = add(square, square) ; W2 = subtract(square, diag) ; W3 = reflect_v(diag) ; W4 = subtract(W2, W3)",3,8,7,1,10,8,2,20,"[[0,1,1,1,1,1,1,1,1,0],[1,0,0,0,0,0,0,0,0,1],[1,0,0,0,0,0,0,0,0,1],[1,0,0,0,0,0,0,0,0,1],[1,0,0,0,0,0,0,0,0,1],[1,0,0,0,0,0,0,0,0,1],[1,0,0,0,0,0,0,0,0,1],[1,0,0,0,0,0,0,0,0,1],[1,0,0,0,0,0,0,0,0,1],[0,1,1,1,1,1,1,1,1,0]]"
P_1769028009753_pa0qcw3cf,2,5,5,Pattern-05,1,1,1769028674248,25777,25.777,2,2,2,"[""add(•, •)"",""add(1, •)""]","[""add"",""add""]",add -> add,add|add,"[""add"",""add""]","[""W1 = add(square, H32)"",""W2 = add(W1, diag)""]","W1 = add(square, H32) ; W2 = add(W1, diag)",1,4,2,1,1,2,0,3,"[[1,1,1,1,1,1,1,1,1,1],[1,1,0,0,0,0,0,0,1,1],[1,0,1,0,0,0,0,1,0,1],[1,0,0,1,0,0,1,0,0,1],[1,0,0,0,1,1,0,0,0,1],[1,0,0,0,1,1,0,0,0,1],[1,0,0,1,0,0,1,0,0,1],[1,0,1,0,0,0,0,1,0,1],[1,1,0,0,0,0,0,0,1,1],[1,1,1,1,1,1,1,1,1,1]]"
P_1769028009753_pa0qcw3cf,2,6,6,Pattern-06,1,1,1769028702040,25751,25.751,2,2,2,"[""add(•, •)"",""invert(•)""]","[""add"",""invert""]",add -> invert,add|invert,"[""add"",""invert""]","[""W1 = add(H34, diag)"",""W2 = invert(W1)""]","W1 = add(H34, diag) ; W2 = invert(W1)",1,4,2,1,1,1,1,3,"[[0,0,0,0,0,0,0,0,0,0],[0,0,1,1,1,1,1,1,0,0],[0,1,0,1,1,1,1,0,1,0],[0,1,1,0,1,1,0,1,1,0],[0,1,1,1,0,0,1,1,1,0],[0,1,1,1,0,0,1,1,1,0],[0,1,1,0,1,1,0,1,1,0],[0,1,0,1,1,1,1,0,1,0],[0,0,1,1,1,1,1,1,0,0],[0,0,0,0,0,0,0,0,0,0]]"
P_1769028009753_pa0qcw3cf,2,7,7,Pattern-07,1,1,1769028729813,35664,35.664,2,2,2,"[""add(•, •)"",""add(1, •)""]","[""add"",""add""]",add -> add,add|add,"[""add"",""add""]","[""W1 = add(H29, diag)"",""W2 = add(W1, H32)""]","W1 = add(H29, diag) ; W2 = add(W1, H32)",1,4,3,1,1,3,0,4,"[[1,0,0,0,1,1,0,0,0,1],[0,1,0,0,1,1,0,0,1,0],[0,0,1,0,1,1,0,1,0,0],[0,0,0,1,1,1,1,0,0,0],[1,1,1,1,1,1,1,1,1,1],[1,1,1,1,1,1,1,1,1,1],[0,0,0,1,1,1,1,0,0,0],[0,0,1,0,1,1,0,1,0,0],[0,1,0,0,1,1,0,0,1,0],[1,0,0,0,1,1,0,0,0,1]]"
P_1769028009753_pa0qcw3cf,2,8,8,Pattern-08,1,1,1769028767488,304307,304.307,7,7,7,"[""add(•, •)"",""subtract(•, •)"",""reflect_vertical(•)"",""reflect_horizontal(•)"",""subtract(•, •)"",""subtract(2, •)"",""subtract(2, 6)""]","[""add"",""subtract"",""reflect_v"",""reflect_h"",""subtract"",""subtract"",""subtract""]",add -> subtract -> reflect_v -> reflect_h -> subtract -> subtract -> subtract,add|subtract|reflect_v|reflect_h|subtract|subtract|subtract,"[""add"",""subtract"",""reflect_v"",""reflect_h"",""subtract"",""subtract"",""subtract""]","[""W1 = add(line_v, line_h)"",""W2 = subtract(H35, square)"",""W3 = reflect_v(line_h)"",""W4 = reflect_h(line_h)"",""W5 = subtract(H29, square)"",""W6 = subtract(W2, H30)"",""W7 = subtract(W2, W6)""]","W1 = add(line_v, line_h) ; W2 = subtract(H35, square) ; W3 = reflect_v(line_h) ; W4 = reflect_h(line_h) ; W5 = subtract(H29, square) ; W6 = subtract(W2, H30) ; W7 = subtract(W2, W6)",4,43,13,1,9,15,11,35,"[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,1,1,0,0,0,0],[0,0,0,0,1,1,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0]]"
P_1769028009753_pa0qcw3cf,2,9,9,Pattern-09,1,1,1769029073817,12628,12.628,1,1,1,"[""add(•, •)""]","[""add""]",add,add,"[""add""]","[""W1 = add(square, H39)""]","W1 = add(square, H39)",1,2,1,1,0,1,0,1,"[[1,1,1,1,1,1,1,1,1,1],[1,0,0,0,0,0,0,0,0,1],[1,0,0,0,0,0,0,0,0,1],[1,0,0,0,0,0,0,0,0,1],[1,0,0,0,1,1,0,0,0,1],[1,0,0,0,1,1,0,0,0,1],[1,0,0,0,0,0,0,0,0,1],[1,0,0,0,0,0,0,0,0,1],[1,0,0,0,0,0,0,0,0,1],[1,1,1,1,1,1,1,1,1,1]]"
P_1769028009753_pa0qcw3cf,2,10,10,Pattern-10,1,1,1769029088467,10987,10.987,1,1,1,"[""invert(•)""]","[""invert""]",invert,invert,"[""invert""]","[""W1 = invert(H40)""]",W1 = invert(H40),1,1,1,1,0,0,1,1,"[[0,0,0,0,0,0,0,0,0,0],[0,1,1,1,1,1,1,1,1,0],[0,1,1,1,1,1,1,1,1,0],[0,1,1,1,1,1,1,1,1,0],[0,1,1,1,0,0,1,1,1,0],[0,1,1,1,0,0,1,1,1,0],[0,1,1,1,1,1,1,1,1,0],[0,1,1,1,1,1,1,1,1,0],[0,1,1,1,1,1,1,1,1,0],[0,0,0,0,0,0,0,0,0,0]]"
P_1769028009753_pa0qcw3cf,2,11,11,Pattern-11,1,1,1769029101465,32405,32.405,2,2,2,"[""subtract(•, •)"",""invert(•)""]","[""subtract"",""invert""]",subtract -> invert,subtract|invert,"[""subtract"",""invert""]","[""W1 = subtract(H29, H39)"",""W2 = invert(W1)""]","W1 = subtract(H29, H39) ; W2 = invert(W1)",2,4,2,1,0,2,1,3,"[[1,1,1,1,0,0,1,1,1,1],[1,1,1,1,0,0,1,1,1,1],[1,1,1,1,0,0,1,1,1,1],[1,1,1,1,0,0,1,1,1,1],[0,0,0,0,1,1,0,0,0,0],[0,0,0,0,1,1,0,0,0,0],[1,1,1,1,0,0,1,1,1,1],[1,1,1,1,0,0,1,1,1,1],[1,1,1,1,0,0,1,1,1,1],[1,1,1,1,0,0,1,1,1,1]]"
P_1769028009753_pa0qcw3cf,2,12,12,Pattern-12,1,1,1769029135882,27346,27.346,1,1,1,"[""add(•, •)""]","[""add""]",add,add,"[""add""]","[""W1 = add(H42, square)""]","W1 = add(H42, square)",0,5,2,1,1,2,1,4,"[[1,1,1,1,1,1,1,1,1,1],[1,0,0,0,1,1,0,0,0,1],[1,0,0,0,1,1,0,0,0,1],[1,0,0,0,1,1,0,0,0,1],[1,1,1,1,0,0,1,1,1,1],[1,1,1,1,0,0,1,1,1,1],[1,0,0,0,1,1,0,0,0,1],[1,0,0,0,1,1,0,0,0,1],[1,0,0,0,1,1,0,0,0,1],[1,1,1,1,1,1,1,1,1,1]]"
P_1769028009753_pa0qcw3cf,2,13,13,Pattern-13,1,1,1769029165236,41729,41.729,2,2,2,"[""add(•, •)"",""subtract(1, •)""]","[""add"",""subtract""]",add -> subtract,add|subtract,"[""add"",""subtract""]","[""W1 = add(diag, H32)"",""W2 = subtract(W1, H39)""]","W1 = add(diag, H32) ; W2 = subtract(W1, H39)",1,5,3,1,1,3,0,4,"[[1,0,0,0,0,0,0,0,0,1],[0,1,0,0,0,0,0,0,1,0],[0,0,1,0,0,0,0,1,0,0],[0,0,0,1,0,0,1,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,1,0,0,1,0,0,0],[0,0,1,0,0,0,0,1,0,0],[0,1,0,0,0,0,0,0,1,0],[1,0,0,0,0,0,0,0,0,1]]"
P_1769028009753_pa0qcw3cf,2,14,14,Pattern-14,1,1,1769029208989,62498,62.498,2,2,2,"[""add(•, •)"",""subtract(1, •)""]","[""add"",""subtract""]",add -> subtract,add|subtract,"[""add"",""subtract""]","[""W1 = add(H42, H44)"",""W2 = subtract(W1, H39)""]","W1 = add(H42, H44) ; W2 = subtract(W1, H39)",1,10,4,0,0,4,0,4,"[[1,0,0,0,1,1,0,0,0,1],[0,1,0,0,1,1,0,0,1,0],[0,0,1,0,1,1,0,1,0,0],[0,0,0,1,1,1,1,0,0,0],[1,1,1,1,0,0,1,1,1,1],[1,1,1,1,0,0,1,1,1,1],[0,0,0,1,1,1,1,0,0,0],[0,0,1,0,1,1,0,1,0,0],[0,1,0,0,1,1,0,0,1,0],[1,0,0,0,1,1,0,0,0,1]]"
P_1769029265911_ghekvzbk7,3,1,1,Pattern-01,1,1,1769028782287,39403,39.403,5,5,5,"[""reflect_horizontal(•)"",""reflect_vertical(•)"",""add(•, 2)"",""add(1, •)"",""add(4, 3)""]","[""reflect_h"",""reflect_v"",""add"",""add"",""add""]",reflect_h -> reflect_v -> add -> add -> add,reflect_h|reflect_v|add|add|add,"[""reflect_h"",""reflect_v"",""add"",""add"",""add""]","[""W1 = reflect_h(line_h)"",""W2 = reflect_v(line_v)"",""W3 = add(line_v, W2)"",""W4 = add(W1, line_h)"",""W5 = add(W4, W3)""]","W1 = reflect_h(line_h) ; W2 = reflect_v(line_v) ; W3 = add(line_v, W2) ; W4 = add(W1, line_h) ; W5 = add(W4, W3)",4,2,5,1,5,3,2,10,"[[0,0,0,0,1,1,0,0,0,0],[0,0,0,0,1,1,0,0,0,0],[0,0,0,0,1,1,0,0,0,0],[0,0,0,0,1,1,0,0,0,0],[1,1,1,1,1,1,1,1,1,1],[1,1,1,1,1,1,1,1,1,1],[0,0,0,0,1,1,0,0,0,0],[0,0,0,0,1,1,0,0,0,0],[0,0,0,0,1,1,0,0,0,0],[0,0,0,0,1,1,0,0,0,0]]"
P_1769029265911_ghekvzbk7,3,2,2,Pattern-02,1,1,1769028823697,18583,18.583,2,2,2,"[""add(•, •)"",""add(•, 1)""]","[""add"",""add""]",add -> add,add|add,"[""add"",""add""]","[""W1 = add(H48, H49)"",""W2 = add(square, W1)""]","W1 = add(H48, H49) ; W2 = add(square, W1)",1,4,2,1,1,2,0,3,"[[1,1,1,1,1,1,1,1,1,1],[1,0,0,0,1,1,0,0,0,1],[1,0,0,0,1,1,0,0,0,1],[1,0,0,0,1,1,0,0,0,1],[1,1,1,1,1,1,1,1,1,1],[1,1,1,1,1,1,1,1,1,1],[1,0,0,0,1,1,0,0,0,1],[1,0,0,0,1,1,0,0,0,1],[1,0,0,0,1,1,0,0,0,1],[1,1,1,1,1,1,1,1,1,1]]"
P_1769029265911_ghekvzbk7,3,3,3,Pattern-03,1,1,1769028844295,20985,20.985,2,2,2,"[""add(•, •)"",""invert(•)""]","[""add"",""invert""]",add -> invert,add|invert,"[""add"",""invert""]","[""W1 = add(square, H50)"",""W2 = invert(W1)""]","W1 = add(square, H50) ; W2 = invert(W1)",1,2,2,1,1,1,1,3,"[[0,0,0,0,0,0,0,0,0,0],[0,1,1,1,0,0,1,1,1,0],[0,1,1,1,0,0,1,1,1,0],[0,1,1,1,0,0,1,1,1,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,1,1,1,0,0,1,1,1,0],[0,1,1,1,0,0,1,1,1,0],[0,1,1,1,0,0,1,1,1,0],[0,0,0,0,0,0,0,0,0,0]]"
